ParticipantID,Group,Q3.1_pre,Q3.2_pre,Q3.3_pre,Q4.2_pre,Q4.3_pre,Q4.4_pre,Q4.5_pre,Q5.2_pre,Q5.3_pre,Q5.4_pre,Q2.1_condA,Q2.2_1_condA,Q2.3_condA,Q2.4_condA,Q3.2_condA,Q3.3_condA,Q3.4_condA,Q3.5_condA,Q3.6_condA,Q3.7_condA,Round_condA,Q2.1_condB,Q2.2_1_condB,Q2.3_condB,Q2.4_condB,Q3.2_condB,Q3.3_condB,Q3.4_condB,Q3.5_condB,Q3.6_condB,Q3.7_condB,Round_condB,Q2.1_condC,Q2.2_1_condC,Q2.3_condC,Q2.4_condC,Q3.2_condC,Q3.3_condC,Q3.4_condC,Q3.5_condC,Q3.6_condC,Q3.7_condC,Round_condC,Q4.3_1_post,Q4.4_1_post,Q4.5_1_post,Q4.6_post,Q4.7_post,Q4.8_post,Q4.9_post,Q5.1_post,Q5.2_post,Q5.3_post
22581,Group 6,Woman,30.0,Bachelor's degree,6,5,4,6,6,6,4,Yes,9.0,To help with the research,NA,6,6,6,6,6,6,Round3,Yes,8.0,To help with the research,NA,6,6,6,6,6,6,Round2,Yes,9.0,To help with the research,NA,6,6,7,6,6,6,Round1,6.0,8.0,8.0,I don't know,NA,NA,NA,"Yes, I would probably be willing to","If it is for someone I know, I would probably help",NA
14609,Group 3,Woman,26.0,Master's degree,6,6,6,6,6,6,6,Yes,7.0,"Contribute to research
",NA,6,6,6,6,6,6,Round3,Yes,9.0,To contribute to research.,NA,4,4,4,6,6,6,Round1,Yes,8.0,Contribute to research.,NA,6,6,6,6,6,6,Round2,10.0,10.0,10.0,Version 3,NA,NA,"Give most information
","Yes, I would definitely be willing to",To contribute to research,NA
18257,Group 4,Woman,27.0,Master's degree,6,5,6,6,6,6,6,Yes,8.0,Because the survey required me to,NA,6,6,7,6,6,6,Round2,Yes,8.0,Because the study required it,NA,6,5,5,6,5,6,Round1,Yes,8.0,For the purpose of the study,NA,6,6,6,6,6,6,Round3,6.0,6.0,6.0,Version 3,NA,NA,"I already did it 2 times before, and i do not expect the data to change.","Yes, I would probably be willing to",It was a good experience and if it can contribute to give some insight it is worth it.,NA
61014,Group 6,Woman,29.0,Bachelor's degree,7,7,6,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,9.0,Because i want to,NA,5,5,5,5,5,5,Round2,Yes,9.0,Because it is important,NA,4,4,6,4,4,5,Round1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67484,Group 3,Man,38.0,PhD,3,2,4,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,8.0,I am interested in data donation too! ;-),NA,NA,NA,NA,NA,NA,NA,Round1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59485,Group 6,Woman,25.0,Bachelor's degree,6,3,5,6,5,5,6,Yes,8.0,"Same reasons as before. It's not a lot of data and I already have it in the zip file now, so that makes it easier.
",NA,7,7,7,5,6,6,Round3,Yes,8.0,The same as last time. It was clear that I was only giving that small table of data and not ALL my location data. I felt like that part of the data would not infiltrate my privacy.,NA,6,7,6,4,5,5,Round2,Yes,8.0,"At first I was skeptical. I did not know what was in the file to be honest, and felt like I was giving away all my location data of the past X years. But then a small clear table was shown with the data that was needed (and thus handed in), which made it pretty clear they weren't 'ripping me off' of all my data. So in the end, I was pretty willing to consent. And I trust the fact that not all data was send to the research, just that small part they needed.",NA,5,7,7,6,5,4,Round1,8.0,9.0,7.0,Version 2,NA,"It give a bit more information, but no too much. I feel like #3 is just too much to read, and I'm not even sure if  I read that in the first round to be honest. And #1 does not give any info, but I think that was the last version for me, so since I know the drill, I did not really notice to be honest. But in general, my preference would be #2.",NA,"Yes, I would probably be willing to","I like contributing to research :)  And if it's not too much of a hassle, or too much infiltrating of my privacy, I will.",NA
11942,Group 5,Man,27.0,Bachelor's degree,5,5,5,6,6,6,6,Yes,9.0,For science! :),NA,7,7,7,7,7,7,Round2,Yes,9.0,Science!,NA,7,7,7,7,7,7,Round3,Yes,8.0,I don't mind at all if my data is used for scientific purposes :),NA,6,6,6,6,6,6,Round1,10.0,10.0,10.0,Version 2,NA,"The level of confidence was pretty much the same for all of them. I didn't even notice that the amount of text/detail increased with each time. That is most probably due to me already knowing what I have to do, so I'd not read the instructions/information again.
However, the second version seems like an appropriate amount of info for instructions. I'd be good with version 1 as well, for this case, since I know it's a thesis study (high inital trust level).",NA,"Yes, I would definitely be willing to",I think providing data for the sake of research is a good thing to do (If it doesn't lead to ad optimization or such D:),NA
96216,Group 1,Woman,40.0,Master's degree,4,4,4,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,4.0,help the research,NA,4,4,4,4,4,4,Round2,Yes,5.0,support the research,NA,4,4,4,4,4,4,Round3,2.0,5.0,5.0,I don't know,NA,NA,NA,"No, I would probably not be willing to",NA,not so interested
39050,Group 4,Woman,29.0,Bachelor's degree,5,5,4,4,6,6,6,Yes,9.0,Because why not,NA,6,6,6,5,4,4,Round2,Yes,9.0,Because I wanted to.,NA,5,4,4,5,4,4,Round1,Yes,9.0,Because I wanted to consent data.,NA,5,6,4,4,5,5,Round3,6.0,7.0,8.0,Version 3,NA,NA,Because I had already done it two times before.,"Yes, I would probably be willing to",To help.,NA
12430,Group 5,Man,30.0,Master's degree,6,5,6,7,3,6,5,Yes,7.0,To help out with the survey & seams to only share anonymous data,NA,6,6,6,6,6,6,Round2,Yes,7.0,As I trust this data will not be used for other intentions outside of research,NA,6,6,6,6,6,6,Round3,Yes,7.0,Trusting that the data will be handled somewhat anonymously and only the data shown to me in the last step is shared. Im fine with that but its based on trust.,NA,6,7,7,7,7,6,Round1,7.0,8.0,8.0,I don't know,NA,NA,NA,"Yes, I would probably be willing to",As long as there is a good explaination of how it is anonimized (or at least a guarantee from a reputable party) and no direct profit/commercial goals related. Im fine with helping reseach,NA
30524,Group 2,Woman,28.0,Bachelor's degree,5,4,3,5,5,6,5,Yes,9.0,as a friendly favor and I trust that is anonymous,NA,7,7,7,7,7,7,Round1,Yes,8.0,i guess i have no choice,NA,7,7,7,7,7,7,Round3,Yes,9.0,part of experiment - 2nd round,NA,4,6,7,6,7,7,Round2,5.0,1.0,10.0,I don't know,NA,NA,NA,"No, I would probably not be willing to",NA,I don't trust donating my data in any case.
86891,Group 1,Man,25.0,Bachelor's degree,3,2,5,5,2,2,5,Yes,9.0,To help scientific research; the data was anonymised,NA,6,7,7,7,7,7,Round1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29957,Group 6,Woman,24.0,Bachelor's degree,6,4,5,6,3,4,4,Yes,6.0,"did is last 2 times, who not now",NA,5,5,5,5,5,5,Round3,Yes,4.0,"I already did the first round, so why not now",NA,5,5,5,5,5,5,Round2,Yes,5.0,"because apparently you need it for your thesis :P, and I looked at the data myself which was to be shared, and it's safe, not personal, just a few numbers",NA,5,5,5,5,5,5,Round1,5.0,9.0,8.0,Version 3,NA,NA,"most explanations given, feels detailed and secure","Yes, I would probably be willing to",it seems safe and easy,NA
96722,Group 5,Man,28.0,Bachelor's degree,6,5,5,7,5,5,5,Yes,9.0,I did it once already.,NA,6,6,6,5,5,5,Round2,Yes,9.0,I've done it before.,NA,6,6,6,6,6,6,Round3,Yes,8.0,The data was reasonably anonymized and the usage was explained.,NA,7,7,7,5,5,5,Round1,4.0,8.0,8.0,Version 2,NA,"It was not overloaded with information, yet ensuring and clear. The third version was the most detailed but not necessary as I have completed the process multiple times already. The first version was the least ensuring, because it came at the beginning, when I still felt unsure about the data anyways.",NA,"Yes, I would probably be willing to","In the end, it comes down to convenience. I did these subsequent donations because I did not have to download the data again. I believe if the data upload process would use means of a more automatic process to gather the data by using, for instance, Google APIs, people would be most willing to donate. However, this also needs to be permission/consent-based and on a moderate scale as it may lead to a new Cambridge Analytica controversy otherwise.",NA
